Entry,M,R1,R2,R3,T,P,Al/M,Time,Cat,Cocat,CA
239,72,23.5,9.1,3,30,0.4,2000,30,0.1,0.2,103
240,72,21.1,8.7,6,80,0.4,2000,30,2,4,26
241,72,21.1,8.7,6,40,0.4,2000,30,0.5,1,24
242,72,21.1,9.1,3,80,0.4,2000,30,0.25,0.5,12
243,72,21.1,9.1,3,30,0.4,2000,30,0.25,0.5,36
244,72,25.5,8.4,6,30,0.4,2000,30,1,2,0.1
245,72,23.5,9.1,3,30,0.4,2000,30,0.25,0.5,0.1
246,72,21.1,8.7,6,30,0.4,2000,30,0.5,1,56
247,72,21.1,9.1,3,30,0.4,2000,30,0.25,0.5,24
248,40,20.5,8.4,6,25,0.1,12500,5,0.1,1.25,224.4
249,72,20.5,8.4,6,25,0.1,2500,5,0.5,1.25,28.8
250,40,20.5,8.4,6,25,0.1,12500,5,0.1,1.25,224.4
251,72,20.5,8.4,6,25,0.1,2500,5,0.5,1.25,21.36
252,22,21.1,8.7,6,25,0.1,250,5,5,1.25,2
253,22,21.1,8.7,6,25,0.1,250,5,5,1.25,1
254,22,19.5,8.7,6,25,0.1,250,5,5,1.25,0.1
255,22,20.5,8.4,6,60,0.3,2000,20,5,10,1.12
256,22,20.5,8.4,6,40,0.5,2000,20,5,10,0.7
257,22,20.5,8.4,6,60,0.5,2000,20,5,10,1.14
258,22,20.5,8.4,6,80,0.5,2000,20,5,10,1.24
259,22,20.5,8.4,6,60,1,2000,10,2.5,5,1.74
260,22,20.3,8.4,6,60,0.3,2000,20,5,10,0.99
261,22,20.3,8.4,6,40,0.5,2000,20,5,10,0.54
262,22,20.3,8.4,6,60,0.5,2000,20,5,10,0.89
263,22,20.3,8.4,6,80,0.5,2000,20,5,10,0.22
264,22,20.3,8.4,6,60,1,2000,10,5,10,0.85
