Entry,M,R1,R2,R3,T,P,Al/M,Time,Cat,Cocat,CA
20,22,20.1,8.4,6,30,0.1,1250,20.0,1.0,1.25,8.54
107,22,18.8,8.7,6,50,0.101325,2500,1.0,0.5,1.25,32.04
261,22,20.3,8.4,6,40,0.5,2000,20.0,5.0,10.0,0.54
165,40,20.5,8.4,6,25,0.1,312500,5.0,0.02,6.25,494.0
139,22,18.8,8.7,6,25,0.1,250,1.0,5.0,1.25,32.0
115,22,21.2,8.4,6,30,0.101325,2000,60.0,5.0,10.0,0.77
26,22,20.1,8.4,6,30,0.1,417,20.0,3.0,1.25,7.79
258,22,20.5,8.4,6,80,0.5,2000,20.0,5.0,10.0,1.24
170,40,20.5,8.4,6,50,0.1,62500,5.0,0.02,1.25,496.0
252,22,21.1,8.7,6,25,0.1,250,5.0,5.0,1.25,2.0
86,22,20.5,8.4,5,25,0.101325,250,30.0,5.0,1.25,2.468
72,22,21.1,1.7,8,30,0.101325,2025,20.0,2.0,1.85,10.35
143,22,21.1,8.7,6,25,0.1,2500,1.0,0.5,1.25,33.6
167,40,20.5,8.4,6,1,0.1,62500,5.0,0.02,1.25,295.0
238,72,23.5,9.1,3,80,0.4,2000,30.0,0.1,0.2,34.0
6,22,21.2,8.4,6,30,0.101325,2000,2.0,2.0,4.0,0.735
121,22,19.0,8.4,5,30,0.3,250,60.0,2.0,0.5,1.7
94,22,21.1,8.7,6,25,0.101325,1250,5.0,1.0,1.25,0.708
181,40,19.1,8.4,6,25,0.1,12500,5.0,0.1,1.25,271.0
124,22,20.5,8.4,5,50,0.3,250,60.0,1.94,0.49,2.42
55,22,21.1,1.7,8,50,0.101325,625,20.0,2.0,1.25,0.8
179,40,29.8,8.4,6,25,0.1,250,30.0,5.0,1.25,0.1
145,22,21.1,8.7,6,50,0.1,2500,1.0,0.5,1.25,36.0
50,22,21.1,1.1,7,50,0.101325,625,20.0,2.0,1.25,0.58
64,22,21.1,1.7,8,30,0.101325,625,20.0,4.0,2.5,9.93
228,40,17.5,8.4,6,25,0.1,12500,5.0,0.1,1.25,30.5
177,40,25.5,8.4,6,25,0.1,2500,5.0,0.5,1.25,40.0
195,40,19.4,8.4,6,25,0.1,6250,5.0,0.2,1.25,152.0
155,22,21.1,2.8,9,50,0.2,2500,30.0,20.0,50.0,0.98
230,40,23.1,8.4,6,25,0.1,12500,5.0,0.1,1.25,116.0
125,22,20.5,8.4,6,25,0.1,250,5.0,5.0,1.25,3.0
226,40,19.4,2.9,2,25,0.1,1250,5.0,0.5,0.625,52.5
111,22,21.2,8.4,6,30,0.101325,2000,10.0,5.0,10.0,1.21
2,22,21.1,2.5,6,25,0.101325,250,1.0,5.0,1.25,3.504
8,22,21.2,8.4,6,30,0.101325,2000,30.0,2.0,4.0,0.401
